FlightDate,Reporting_Airline,Origin,Dest,CRSDepTime,ArrDelay,Tail_Number,aircraft_type,num_seats,dep_tmpf,dep_wind,dep_visibility,dep_precip_flag,dep_ceiling_ft,dep_weather_severity,arr_tmpf,arr_wind,arr_visibility,arr_precip_flag,arr_ceiling_ft,arr_weather_severity,regional_weather_index,regional_storm_count,system_weather_flag
2022-06-04,OH,BWI,CLT,1209,-11.0,N557NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OH,BWI,CLT,1209,-25.0,N593NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-18,OH,BWI,CLT,1209,5.0,N576NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OH,BWI,CLT,1209,-16.0,N579NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-04,OH,CLT,BWI,941,12.0,N557NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OH,CLT,BWI,941,1.0,N593NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-18,OH,CLT,BWI,941,47.0,N576NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OH,CLT,BWI,941,14.0,N579NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OH,BWI,CLT,1520,-25.0,N566NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-18,OH,BWI,CLT,1520,-6.0,N555NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OH,BWI,CLT,1520,-12.0,N603NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OH,CLT,BWI,1310,-18.0,N566NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-18,OH,CLT,BWI,1310,-12.0,N555NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OH,CLT,BWI,1310,-8.0,N603NN,Fixed wing multi engine,95.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-14,OO,BWI,ORD,1245,-31.0,N760EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-02,OO,BWI,ORD,1256,-16.0,N614SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-02,OO,ORD,BWI,904,-27.0,N614SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-02,OO,BWI,ORD,1823,75.0,N724EV,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-02,OO,ORD,BWI,1434,116.0,N724EV,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-08,OO,BWI,ORD,1245,-2.0,N603SK,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-08,OO,ORD,BWI,845,35.0,N603SK,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-05,OO,BWI,ORD,1245,-19.0,N727SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-28,OO,ORD,BWI,845,6.0,N772SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-28,OO,BWI,ORD,1245,-14.0,N772SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-30,OO,BWI,ORD,1245,-28.0,N718SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-30,OO,ORD,BWI,845,-21.0,N718SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-01,OO,BWI,ORD,1823,-38.0,N710SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-01,OO,ORD,BWI,1434,-22.0,N710SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-01,OO,ORD,BWI,904,-1.0,N614SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-01,OO,BWI,ORD,1256,-16.0,N614SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-06,OO,ORD,BWI,845,-14.0,N614SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-06,OO,BWI,ORD,1245,-15.0,N614SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-07,OO,ORD,BWI,845,-31.0,N748EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-29,OO,ORD,BWI,845,-10.0,N713SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-29,OO,BWI,ORD,1245,5.0,N713SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-24,OO,BWI,ORD,1245,0.0,N709EV,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-24,OO,ORD,BWI,845,15.0,N709EV,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OO,ORD,BWI,1414,-24.0,N760SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-26,OO,BWI,ORD,1245,-34.0,N771SK,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-04,OO,BWI,ORD,1757,-18.0,N606SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-12,OO,ORD,BWI,845,,N740EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-12,OO,BWI,ORD,1245,99.0,N740EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OO,BWI,ORD,1757,-34.0,N760SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-22,OO,ORD,BWI,845,-23.0,N702SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-22,OO,BWI,ORD,1245,-34.0,N702SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-27,OO,BWI,ORD,1245,-12.0,N709SK,Fixed wing multi engine,80.0,83.0,8.0,10.0,0,4000.0,0.26666666666666666,,,,0,,0.0,0.26666666666666666,0,0
2022-06-14,OO,ORD,BWI,845,-1.0,N760EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-15,OO,ORD,BWI,845,-12.0,N740EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-15,OO,BWI,ORD,1245,-17.0,N740EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-07,OO,BWI,ORD,1245,0.0,N748EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-19,OO,BWI,ORD,1245,-23.0,N768SK,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-20,OO,ORD,BWI,845,-14.0,N750SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-20,OO,BWI,ORD,1245,-29.0,N750SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OO,BWI,ORD,1757,-11.0,N745SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OO,ORD,BWI,1414,15.0,N745SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-26,OO,ORD,BWI,845,-20.0,N771SK,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-04,OO,BWI,ORD,1053,-20.0,N160SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-23,OO,ORD,BWI,845,-10.0,N708EV,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-09,OO,ORD,BWI,845,-12.0,N708SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-09,OO,BWI,ORD,1245,-21.0,N708SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-04,OO,ORD,BWI,1414,-19.0,N606SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-05,OO,ORD,BWI,845,-20.0,N727SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-03,OO,ORD,BWI,845,3.0,N741EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-03,OO,BWI,ORD,1245,-6.0,N741EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-27,OO,ORD,BWI,845,-1.0,N709SK,Fixed wing multi engine,80.0,,,,0,,0.0,79.0,9.0,10.0,0,3600.0,0.3,0.41666666666666663,0,0
2022-06-13,OO,BWI,ORD,1245,-1.0,N758EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-13,OO,ORD,BWI,845,23.0,N758EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-16,OO,ORD,BWI,845,-17.0,N754SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-16,OO,BWI,ORD,1245,-21.0,N754SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-17,OO,ORD,BWI,845,4.0,N748SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-17,OO,BWI,ORD,1245,-11.0,N748SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-10,OO,ORD,BWI,845,9.0,N740EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-10,OO,BWI,ORD,1245,-16.0,N740EV,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-21,OO,ORD,BWI,845,7.0,N632SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-21,OO,BWI,ORD,1245,-17.0,N632SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-18,OO,BWI,ORD,1757,36.0,N748SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-18,OO,ORD,BWI,1414,22.0,N748SK,Fixed wing multi engine,80.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-23,OO,BWI,ORD,1245,-15.0,N708EV,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-19,OO,ORD,BWI,845,7.0,N768SK,Fixed wing multi engine,55.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OO,BWI,ORD,1053,-16.0,N132SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-05,OO,BWI,ORD,1747,-8.0,N130SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-05,OO,ORD,BWI,1355,-22.0,N130SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-11,OO,ORD,BWI,710,-1.0,N139SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OO,ORD,BWI,710,-10.0,N132SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
2022-06-25,OO,BWI,ORD,1747,0.0,N107SY,Fixed wing multi engine,88.0,,,,0,,0.0,,,,0,,0.0,,0,0
