icao24,snapshot_time,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category,latitude_mean_10s,latitude_std_10s,latitude_min_10s,latitude_max_10s,latitude_median_10s,latitude_count_10s,longitude_mean_10s,longitude_std_10s,longitude_min_10s,longitude_max_10s,longitude_median_10s,longitude_count_10s,velocity_mean_10s,velocity_std_10s,velocity_min_10s,velocity_max_10s,velocity_median_10s,velocity_count_10s,geo_altitude_mean_10s,geo_altitude_std_10s,geo_altitude_min_10s,geo_altitude_max_10s,geo_altitude_median_10s,geo_altitude_count_10s,vertical_rate_mean_10s,vertical_rate_std_10s,vertical_rate_min_10s,vertical_rate_max_10s,vertical_rate_median_10s,vertical_rate_count_10s,true_track_mean_10s,true_track_std_10s,true_track_min_10s,true_track_max_10s,true_track_median_10s,true_track_count_10s,velocity_mean_1min,velocity_std_1min,velocity_min_1min,velocity_max_1min,velocity_median_1min,velocity_count_1min,geo_altitude_mean_1min,geo_altitude_std_1min,geo_altitude_min_1min,geo_altitude_max_1min,geo_altitude_median_1min,geo_altitude_count_1min,vertical_rate_mean_1min,vertical_rate_std_1min,vertical_rate_min_1min,vertical_rate_max_1min,vertical_rate_median_1min,vertical_rate_count_1min
600801,2026-02-16 21:54:09+00:00,AHY4731,Azerbaijan,2026-02-16 21:54:02+00:00,2026-02-16 21:54:05+00:00,-76.8703,38.6545,708.66,False,97.24,359.39,0.0,,731.52,7060,False,0,0,38.914113953488375,0.13187270662667677,38.6545,39.1442,38.9106,43,-77.30213488372092,0.23747428821595984,-77.611,-76.8535,-77.3758,43,89.49511627906976,77.24999239858471,0.0,230.16,79.51,43,3463.201395348837,4196.755373499628,22.86,13106.4,1120.14,43,2.071395348837209,7.321742760727363,-5.85,26.33,0.0,43,212.45302325581395,118.16182705923109,0.0,359.39,225.1,43,88.36456790123457,75.57389469997861,0.0,230.16,80.15,81,3452.4244444444444,4145.668821991211,22.86,13114.02,1120.14,81,2.34358024691358,7.01350007283132,-6.5,26.33,0.0,81
600801,2026-02-16 21:54:39+00:00,AHY4731,Azerbaijan,2026-02-16 21:54:34+00:00,2026-02-16 21:54:35+00:00,-76.8703,38.6824,708.66,False,96.72,359.39,-0.65,,731.52,7060,False,0,0,38.921186842105264,0.1309917228064909,38.652,39.1057,38.93105,38,-77.30889210526315,0.23444836621839546,-77.6537,-76.8703,-77.38919999999999,38,87.08526315789473,74.6448089372612,0.0,216.44,81.6,38,3440.2294736842105,4143.308559162198,60.96,13114.02,1062.99,38,2.651578947368421,6.731956274173403,-6.5,18.53,0.0,38,221.13894736842107,112.37214514401435,0.0,359.39,227.255,38,88.36456790123457,75.57389469997861,0.0,230.16,80.15,81,3452.4244444444444,4145.668821991211,22.86,13114.02,1120.14,81,2.34358024691358,7.01350007283132,-6.5,26.33,0.0,81
600801,2026-02-16 21:55:09+00:00,AHY4731,Azerbaijan,2026-02-16 21:54:59+00:00,2026-02-16 21:55:05+00:00,-76.8703,38.7037,586.74,False,90.03,359.67,-4.88,,617.22,7060,False,0,0,38.92125142857143,0.12494750043736817,38.6756,39.135,38.9441,35,-77.29282571428571,0.22503895785979286,-77.5641,-76.8703,-77.3538,35,80.11571428571429,74.89976719062673,0.0,216.08,53.29,35,3485.1702857142855,4257.790726648991,60.96,13121.64,1143.0,35,1.736857142857143,6.278798016962732,-6.5,19.51,0.0,35,206.33085714285713,106.83684571431746,0.0,359.67,225.1,35,81.0213888888889,74.97548450605076,0.0,216.08,57.26,72,3600.45,4345.026688714934,60.96,13121.64,1123.95,72,1.7877777777777777,6.525086632034518,-7.15,19.51,0.0,72
600801,2026-02-16 21:55:39+00:00,AHY4731,Azerbaijan,2026-02-16 21:55:35+00:00,2026-02-16 21:55:35+00:00,-76.8704,38.7308,419.1,False,75.62,0.0,-4.88,,457.2,7060,False,0,0,38.924575675675676,0.12494284783542053,38.6559,39.1196,38.946,37,-77.2983054054054,0.24293594485646286,-77.6519,-76.8433,-77.3526,37,81.87810810810811,76.06994825078348,0.0,215.35,61.23,37,3709.498378378378,4481.88806112974,60.96,13121.64,1104.9,37,1.8359459459459457,6.836139041666502,-7.15,19.51,0.0,37,197.23216216216215,117.10534853842633,0.0,356.21,225.0,37,81.0213888888889,74.97548450605076,0.0,216.08,57.26,72,3600.45,4345.026688714934,60.96,13121.64,1123.95,72,1.7877777777777777,6.525086632034518,-7.15,19.51,0.0,72
600801,2026-02-16 21:56:09+00:00,AHY4731,Azerbaijan,2026-02-16 21:56:04+00:00,2026-02-16 21:56:05+00:00,-76.8705,38.7492,320.04,False,67.91,359.57,-3.9,,350.52,7060,False,0,0,38.92375,0.11472606438157186,38.6792,39.0928,38.9443,34,-77.29110882352941,0.24555134545165858,-77.6117,-76.8705,-77.3366,34,77.1064705882353,72.88986943295791,0.0,214.99,54.83,34,3724.1629411764707,4629.125743582055,7.62,13121.64,1013.4599999999999,34,1.816470588235294,6.537555322138226,-5.85,19.83,0.0,34,212.97470588235296,117.28008653814904,0.0,359.57,225.20499999999998,34,75.4689393939394,71.64352474103536,0.0,216.57,54.06,66,3709.3236363636365,4606.960831166293,7.62,13129.26,1013.4599999999999,66,1.595909090909091,6.283116810401257,-5.85,19.83,0.0,66
600801,2026-02-16 21:56:39+00:00,AHY4731,Azerbaijan,2026-02-16 21:56:34+00:00,2026-02-16 21:56:35+00:00,-76.8705,38.7673,213.36,False,66.88,0.0,-3.58,,251.46,7060,False,0,0,38.923403125,0.11687839692320605,38.7027,39.0951,38.945750000000004,32,-77.296821875,0.2406704663580785,-77.6144,-76.8705,-77.3543,32,73.7290625,71.41808288948165,0.0,216.57,52.965,32,3693.556875,4657.286052688901,60.96,13129.26,982.98,32,1.3615625,6.096593501173289,-5.85,16.91,0.0,32,193.3921875,118.67632317424254,0.0,356.03,218.35500000000002,32,75.4689393939394,71.64352474103536,0.0,216.57,54.06,66,3709.3236363636365,4606.960831166293,7.62,13129.26,1013.4599999999999,66,1.595909090909091,6.283116810401257,-5.85,19.83,0.0,66
600801,2026-02-16 21:57:09+00:00,AHY4731,Azerbaijan,2026-02-16 21:57:03+00:00,2026-02-16 21:57:05+00:00,-76.8705,38.7846,99.06,False,65.85,0.0,-3.25,,137.16,7060,False,0,0,38.92617878787879,0.12217263594391493,38.6624,39.113,38.9441,33,-77.30735151515152,0.2382260574554284,-77.6364,-76.8705,-77.3785,33,78.29818181818182,76.29564766643578,0.0,229.3,52.48,33,3945.5436363636363,4812.572870839085,60.96,13129.26,1165.86,33,1.3493939393939396,6.130305834231447,-5.85,16.91,0.0,33,198.79999999999998,121.08474777506042,0.0,357.19,222.1,33,78.29818181818182,76.29564766643578,0.0,229.3,52.48,33,3945.5436363636363,4812.572870839085,60.96,13129.26,1165.86,33,1.3493939393939396,6.130305834231447,-5.85,16.91,0.0,33
a0345f,2026-02-16 21:47:09+00:00,RPA4338,United States,2026-02-16 21:47:04+00:00,2026-02-16 21:47:05+00:00,-77.1,38.9127,998.22,False,111.02,304.43,12.68,,1013.46,,False,0,0,38.89043703703704,0.11388801567311675,38.6653,39.1358,38.8517,27,-77.21244074074075,0.21156091913943464,-77.5762,-76.9441,-77.1,27,62.43074074074074,69.24932262517507,0.0,224.6,42.79,27,2411.0244444444447,3291.654283895437,60.96,12420.6,944.88,27,-0.6388888888888888,5.478578797555588,-6.83,16.91,-0.33,27,206.54962962962964,104.97939275735835,0.0,357.19,182.81,27,66.68413793103448,70.91329353598654,0.0,224.6,43.335,58,2534.8324137931036,3324.1437222160625,60.96,12420.6,982.98,58,-0.16293103448275867,6.151314225181046,-10.4,17.56,-0.33,58
a0345f,2026-02-16 21:47:39+00:00,RPA4338,United States,2026-02-16 21:47:34+00:00,2026-02-16 21:47:35+00:00,-77.1253,38.9388,1242.06,False,130.31,329.39,13.33,,1249.68,,False,0,0,38.91074516129032,0.11591564415185567,38.6692,39.097,38.8897,31,-77.22255806451614,0.22746656424508538,-77.5712,-76.8479,-77.1253,31,70.38870967741936,73.26653027323985,0.0,224.6,50.42,31,2642.6651612903224,3402.7541617263223,60.96,12420.6,1158.24,31,0.2516129032258064,6.745306564209019,-10.4,17.56,-0.33,31,200.63612903225808,104.41251552304189,0.0,355.34,182.81,31,66.68413793103448,70.91329353598654,0.0,224.6,43.335,58,2534.8324137931036,3324.1437222160625,60.96,12420.6,982.98,58,-0.16293103448275867,6.151314225181046,-10.4,17.56,-0.33,58
a0345f,2026-02-16 21:48:09+00:00,RPA4338,United States,2026-02-16 21:48:05+00:00,2026-02-16 21:48:05+00:00,-77.1533,38.9661,1722.12,False,131.13,299.88,15.93,,1737.36,,False,0,0,38.90259090909091,0.11921327622069892,38.6591,39.11,38.9251,33,-77.2340303030303,0.23159514039165674,-77.6453,-76.8814,-77.1533,33,74.03787878787878,72.67643766885419,0.0,224.57,71.73,33,2596.3418181818183,3318.45054899257,15.24,12420.6,1158.24,33,0.502121212121212,7.642362918943884,-9.75,17.56,-0.33,33,195.70181818181817,104.74649849322365,0.0,355.48,180.0,33,76.276,75.78299512011255,0.0,252.49,71.73,65,2801.3464615384614,3491.846180989198,15.24,12420.6,1196.34,65,0.7149230769230769,7.475181879701349,-9.75,17.56,-0.33,65
