feature,importance
prev1_arr_del15,0.33392245
cum_arr_delay_aircraft_day,0.12833817
cum_dep_delay_aircraft_day,0.10935738
aircraft_leg_number_day,0.03413683
prev1_arr_delay,0.028474327
prev_total_delay,0.026592787
prev_arr_delayed_flag,0.026079345
prev2_dep_delay,0.025431938
prev_arr_del15,0.02377413
prev1_dep_delay,0.022505442
prev1_turnaround_minutes,0.021904599
prev2_arr_del15,0.020640759
prev2_arr_delay,0.01887307
tight_turnaround_flag,0.018697001
prev_dep_delay,0.018102227
prev_arr_delay,0.01785451
relative_leg_position,0.016119843
dep_hour_local,0.014760906
time_since_prev2_arrival_minutes,0.013745483
rotation_continuity_flag,0.012739579
prev2_dep_del15,0.009738935
turnaround_minutes,0.007923551
origin_flight_volume,0.005208751
arr_ceiling_height_m,0.0049488726
dep_temp_c,0.004388571
dep_time_bucket,0.003822541
dest_flight_volume,0.0035834867
dep_ceiling_height_m,0.0030421317
aircraft_no_seats,0.0029145468
distance,0.0028663496
dep_month_local,0.0028184615
arr_temp_c,0.0027343475
crs_elapsed_time,0.0024764752
dep_weekday_local,0.0021460429
aircraft_year_mfr,0.0017633718
arr_wind_speed_m_s,0.0016634315
arr_wind_dir_deg,0.001493138
aircraft_age,0.0012741421
dep_wind_dir_deg,0.00090772606
route_frequency,0.0008836421
days_to_nearest_holiday,0.0008363925
dep_wind_speed_m_s,0.000512764
is_holiday,1.3261821e-06
prev_dep_del15,2.2264298e-07
is_weekend,0.0
prev1_dep_del15,0.0
aircraft_no_eng,0.0
