feature,importance
prev1_arr_delay,0.287926
prev1_arr_del15,0.25814155
dep_hour_local,0.06946392
prev1_turnaround_minutes,0.059711482
dep_time_bucket,0.04299559
time_since_prev2_arrival_minutes,0.030376172
prev1_dep_delay,0.028305274
prev2_dep_delay,0.026505362
prev2_arr_delay,0.026446663
arr_ceiling_height_m,0.016275115
origin_flight_volume,0.01529107
dep_temp_c,0.014458679
days_to_nearest_holiday,0.0131304655
distance,0.012312766
dep_month_local,0.011501143
dep_ceiling_height_m,0.011450147
arr_temp_c,0.010299219
arr_wind_speed_m_s,0.009197309
dest_flight_volume,0.0083713345
aircraft_no_seats,0.0071897707
crs_elapsed_time,0.0070580365
dep_weekday_local,0.006817523
aircraft_year_mfr,0.0056371456
arr_wind_dir_deg,0.0048907343
route_frequency,0.004795706
dep_wind_dir_deg,0.0038132034
dep_wind_speed_m_s,0.0027891197
prev1_dep_del15,0.0026872512
aircraft_age,0.0021622847
aircraft_no_eng,0.0
is_holiday,0.0
is_weekend,0.0
prev2_dep_del15,0.0
prev2_arr_del15,0.0
