feature,importance
prev1_arr_del15,0.51230395
prev1_arr_delay,0.18391591
dep_hour_local,0.04103055
prev1_turnaround_minutes,0.04016926
dep_time_bucket,0.03241657
prev1_dep_delay,0.02920974
prev2_dep_delay,0.019040897
time_since_prev2_arrival_minutes,0.0166999
prev2_arr_delay,0.016474094
arr_ceiling_height_m,0.010073781
dep_temp_c,0.00970434
origin_flight_volume,0.009593036
days_to_nearest_holiday,0.008531626
dep_month_local,0.008044036
dep_ceiling_height_m,0.0075768526
distance,0.006752634
arr_temp_c,0.0064924494
arr_wind_speed_m_s,0.0061523635
crs_elapsed_time,0.005637087
dest_flight_volume,0.0055974047
is_weekend,0.0055237
dep_weekday_local,0.0045679957
prev1_dep_del15,0.0029008293
arr_wind_dir_deg,0.0026698213
route_frequency,0.0024262634
dep_wind_dir_deg,0.0022622591
dep_wind_speed_m_s,0.0020901768
prev2_dep_del15,0.0017834204
is_holiday,0.00035900617
prev2_arr_del15,0.0
