feature,importance
dep_time_bucket,0.2126357
dep_hour_local,0.20113052
dep_month_local,0.05877463
distance,0.058479764
dep_ceiling_height_m,0.056876168
arr_ceiling_height_m,0.055188674
dep_temp_c,0.04828967
days_to_nearest_holiday,0.044461668
crs_elapsed_time,0.033795908
dest_flight_volume,0.031752333
arr_wind_speed_m_s,0.031185983
is_weekend,0.030819926
arr_temp_c,0.030149926
origin_flight_volume,0.02292173
dep_weekday_local,0.022178497
dep_wind_speed_m_s,0.019017002
arr_wind_dir_deg,0.014354775
route_frequency,0.011768378
dep_wind_dir_deg,0.011219984
is_holiday,0.0049986835
