feature,importance
prev1_dep_del15,0.401555
prev1_arr_del15,0.303803
prev1_arr_delay,0.09887448
dep_hour_local,0.02586604
prev1_turnaround_minutes,0.023825945
aircraft_leg_number_day,0.018261082
rotation_continuity_flag,0.015638366
prev1_dep_delay,0.011930144
dep_time_bucket,0.010874639
prev2_arr_delay,0.010530602
time_since_prev2_arrival_minutes,0.007444033
prev2_dep_delay,0.0068087024
relative_leg_position,0.006720339
origin_flight_volume,0.006170591
arr_ceiling_height_m,0.006148818
dep_temp_c,0.005065697
days_to_nearest_holiday,0.004919206
dep_ceiling_height_m,0.004720252
arr_temp_c,0.004518898
dep_month_local,0.0043322383
arr_wind_speed_m_s,0.0037166062
dest_flight_volume,0.0034232917
distance,0.0032129711
dep_weekday_local,0.0026069512
crs_elapsed_time,0.002506424
arr_wind_dir_deg,0.0018218787
route_frequency,0.0015615709
dep_wind_dir_deg,0.0012412842
dep_wind_speed_m_s,0.0009912146
prev2_arr_del15,0.00060952024
is_holiday,0.00030018727
is_weekend,0.0
prev2_dep_del15,0.0
