feature,importance
prev1_arr_del15,0.4302428
prev1_dep_del15,0.27328977
prev1_arr_delay,0.090493485
dep_time_bucket,0.026420059
aircraft_leg_number_day,0.023035942
dep_hour_local,0.02185372
prev1_turnaround_minutes,0.021725284
prev1_dep_delay,0.014402137
rotation_continuity_flag,0.0130113475
prev2_dep_delay,0.009750163
prev2_arr_delay,0.008660092
time_since_prev2_arrival_minutes,0.006080596
arr_ceiling_height_m,0.0055255536
origin_flight_volume,0.004981818
dep_ceiling_height_m,0.0043715094
days_to_nearest_holiday,0.004328773
dep_temp_c,0.0043143365
dep_month_local,0.0041102823
arr_temp_c,0.003695481
arr_wind_speed_m_s,0.0033208255
distance,0.0030087098
dest_flight_volume,0.002929319
aircraft_no_seats,0.0026827673
crs_elapsed_time,0.0026819753
aircraft_year_mfr,0.0023582543
dep_weekday_local,0.0021951864
is_weekend,0.0021627746
prev2_arr_del15,0.0018789939
relative_leg_position,0.0014291166
dep_wind_dir_deg,0.0011118746
arr_wind_dir_deg,0.001099204
dep_wind_speed_m_s,0.0010857764
route_frequency,0.0010722665
aircraft_age,0.00044467996
is_holiday,0.00024503362
aircraft_no_eng,0.0
prev2_dep_del15,0.0
