feature,importance
prev1_arr_del15,0.40819928
prev1_arr_delay,0.2242311
dep_hour_local,0.05112838
prev1_turnaround_minutes,0.0459984
dep_time_bucket,0.045061868
prev1_dep_delay,0.032987192
prev2_dep_delay,0.019998146
time_since_prev2_arrival_minutes,0.019071717
prev2_arr_delay,0.017980734
origin_flight_volume,0.012159446
arr_ceiling_height_m,0.0117934
dep_temp_c,0.011313115
days_to_nearest_holiday,0.010332039
dep_month_local,0.009988883
dep_ceiling_height_m,0.009254394
arr_temp_c,0.008142795
crs_elapsed_time,0.007555951
arr_wind_speed_m_s,0.007259159
is_weekend,0.007150983
distance,0.0070467265
prev2_arr_del15,0.0068790973
dest_flight_volume,0.0066355895
dep_weekday_local,0.0053121876
prev1_dep_del15,0.0030753138
arr_wind_dir_deg,0.0030278063
route_frequency,0.0027999445
dep_wind_dir_deg,0.0027285747
dep_wind_speed_m_s,0.0023525893
is_holiday,0.00053511857
prev2_dep_del15,0.0
