feature,importance
dep_time_bucket,0.24713421
dep_hour_local,0.19322743
distance,0.05911955
dep_ceiling_height_m,0.057818603
dep_month_local,0.055143416
arr_ceiling_height_m,0.04994762
dep_temp_c,0.048156943
days_to_nearest_holiday,0.045040496
crs_elapsed_time,0.03647401
arr_wind_speed_m_s,0.03301097
arr_temp_c,0.031071138
dest_flight_volume,0.02877098
dep_weekday_local,0.023470482
origin_flight_volume,0.019390076
dep_wind_speed_m_s,0.017960245
is_weekend,0.012993991
dep_wind_dir_deg,0.012426511
route_frequency,0.0118125575
arr_wind_dir_deg,0.011209952
is_holiday,0.005820847
