feature,importance
prev1_dep_del15,0.41021577
prev1_arr_del15,0.27817804
prev1_arr_delay,0.1011232
dep_hour_local,0.02646006
prev1_turnaround_minutes,0.024155894
aircraft_leg_number_day,0.020670345
rotation_continuity_flag,0.014571389
prev1_dep_delay,0.013070296
dep_time_bucket,0.011483239
prev2_arr_delay,0.011246082
time_since_prev2_arrival_minutes,0.008804011
origin_flight_volume,0.0063160122
prev2_dep_delay,0.006119286
relative_leg_position,0.00607817
arr_ceiling_height_m,0.0060662664
prev2_arr_del15,0.005405895
dep_temp_c,0.0053579276
dep_month_local,0.005113021
days_to_nearest_holiday,0.005028287
dep_ceiling_height_m,0.0048862663
arr_temp_c,0.0043612747
arr_wind_speed_m_s,0.0037628852
distance,0.003359876
is_weekend,0.0032899012
crs_elapsed_time,0.0032653243
dest_flight_volume,0.00324525
dep_weekday_local,0.002370744
arr_wind_dir_deg,0.002226796
route_frequency,0.0013962368
dep_wind_dir_deg,0.0013552856
dep_wind_speed_m_s,0.0010169792
is_holiday,0.0
prev2_dep_del15,0.0
