feature,importance
prev1_arr_del15,0.38734537
prev1_dep_del15,0.19224428
prev1_arr_delay,0.12324196
dep_time_bucket,0.036439985
aircraft_leg_number_day,0.03239254
dep_hour_local,0.03153088
prev1_turnaround_minutes,0.029414847
prev1_dep_delay,0.024834853
rotation_continuity_flag,0.017759828
prev2_dep_delay,0.015917292
prev2_arr_delay,0.012215819
time_since_prev2_arrival_minutes,0.008620341
arr_ceiling_height_m,0.0074241306
origin_flight_volume,0.0073928307
dep_temp_c,0.006138552
days_to_nearest_holiday,0.0060385736
dep_ceiling_height_m,0.005687423
dep_month_local,0.0053693075
arr_temp_c,0.005111137
arr_wind_speed_m_s,0.004479714
prev2_arr_del15,0.0043006074
dest_flight_volume,0.004096097
crs_elapsed_time,0.003934748
distance,0.003907287
aircraft_no_seats,0.0037883935
dep_weekday_local,0.0033671833
is_weekend,0.0032893152
aircraft_year_mfr,0.003145264
relative_leg_position,0.0027989983
arr_wind_dir_deg,0.0019076938
dep_wind_dir_deg,0.0016765269
route_frequency,0.0015442712
dep_wind_speed_m_s,0.0013682215
aircraft_age,0.0012757585
aircraft_no_eng,0.0
is_holiday,0.0
prev2_dep_del15,0.0
