feature,importance
prev1_arr_del15,0.49038154
prev1_arr_delay,0.16680095
dep_time_bucket,0.044549014
prev1_turnaround_minutes,0.03932162
dep_hour_local,0.03166775
time_since_prev2_arrival_minutes,0.028954154
prev1_dep_delay,0.025522675
days_to_nearest_holiday,0.020207096
dep_month_local,0.01808245
prev2_arr_delay,0.01252193
arr_ceiling_height_m,0.011143856
arr_wind_speed_m_s,0.010837099
arr_temp_c,0.009837113
prev2_dep_delay,0.0093494635
is_weekend,0.009123294
distance,0.008205391
dep_temp_c,0.008203844
origin_flight_volume,0.008142103
prev2_arr_del15,0.0079523055
dest_flight_volume,0.0070996433
crs_elapsed_time,0.006699219
dep_ceiling_height_m,0.006088818
dep_weekday_local,0.004475481
dep_wind_speed_m_s,0.003517691
arr_wind_dir_deg,0.0034457732
route_frequency,0.0029799738
is_holiday,0.0028962211
dep_wind_dir_deg,0.0019742143
prev1_dep_del15,1.9383002e-05
prev2_dep_del15,0.0
