feature,importance
dep_time_bucket,0.18729979
dep_hour_local,0.11872278
dep_month_local,0.10197741
days_to_nearest_holiday,0.09538845
arr_ceiling_height_m,0.05292988
dep_ceiling_height_m,0.049897775
distance,0.044314075
dep_temp_c,0.042436615
arr_wind_speed_m_s,0.03784049
arr_temp_c,0.036588665
dest_flight_volume,0.031944387
crs_elapsed_time,0.031323858
origin_flight_volume,0.02617176
dep_weekday_local,0.025652558
dep_wind_speed_m_s,0.025311358
route_frequency,0.02466857
is_holiday,0.02411238
is_weekend,0.016533893
arr_wind_dir_deg,0.015281171
dep_wind_dir_deg,0.011604112
