feature,importance
prev1_dep_del15,0.40948725
prev1_arr_del15,0.29744607
prev1_arr_delay,0.08081106
aircraft_leg_number_day,0.04656347
prev1_turnaround_minutes,0.018617062
dep_hour_local,0.01687144
prev1_dep_delay,0.013228742
dep_time_bucket,0.011928402
days_to_nearest_holiday,0.011246521
prev2_arr_delay,0.009858641
dep_month_local,0.008513323
rotation_continuity_flag,0.008229749
time_since_prev2_arrival_minutes,0.0077576963
arr_ceiling_height_m,0.0057222527
arr_wind_speed_m_s,0.004968781
arr_temp_c,0.0047953785
origin_flight_volume,0.004391614
dep_temp_c,0.0043633296
relative_leg_position,0.004226631
dest_flight_volume,0.00400336
prev2_dep_delay,0.0039653983
distance,0.0034545786
is_weekend,0.0033219205
dep_ceiling_height_m,0.0029926833
crs_elapsed_time,0.002909388
dep_weekday_local,0.0024314853
dep_wind_speed_m_s,0.0021020344
route_frequency,0.001911943
arr_wind_dir_deg,0.0015474315
dep_wind_dir_deg,0.0012644359
is_holiday,0.0010678525
prev2_dep_del15,0.0
prev2_arr_del15,0.0
