feature,importance
prev1_arr_del15,0.41139868
prev1_dep_del15,0.17429852
prev1_arr_delay,0.10402473
aircraft_leg_number_day,0.06459519
prev1_turnaround_minutes,0.027331011
prev1_dep_delay,0.022661518
dep_hour_local,0.020290414
dep_time_bucket,0.018945161
days_to_nearest_holiday,0.0133716995
dep_month_local,0.012265535
prev2_dep_delay,0.012174981
prev2_arr_delay,0.010854912
time_since_prev2_arrival_minutes,0.010778951
rotation_continuity_flag,0.009965087
arr_ceiling_height_m,0.008980336
arr_temp_c,0.008328665
arr_wind_speed_m_s,0.008065876
origin_flight_volume,0.006922399
dep_temp_c,0.0057758084
relative_leg_position,0.005707379
dest_flight_volume,0.0055387844
aircraft_no_seats,0.005480506
distance,0.0047885273
dep_ceiling_height_m,0.0044050682
crs_elapsed_time,0.0039441315
dep_weekday_local,0.003266662
dep_wind_speed_m_s,0.0027057007
route_frequency,0.0026121817
is_holiday,0.0024461125
is_weekend,0.00221887
dep_wind_dir_deg,0.002146231
arr_wind_dir_deg,0.0020143113
aircraft_year_mfr,0.0016960475
aircraft_age,0.0
aircraft_no_eng,0.0
prev2_dep_del15,0.0
prev2_arr_del15,0.0
