feature,importance
dep_time_bucket,0.2492468
dep_hour_local,0.1635148
dep_ceiling_height_m,0.056234997
dep_month_local,0.05585005
distance,0.053877115
arr_ceiling_height_m,0.04966406
crs_elapsed_time,0.04648597
dep_temp_c,0.043916557
days_to_nearest_holiday,0.04326998
arr_wind_speed_m_s,0.032454345
arr_temp_c,0.028895974
dest_flight_volume,0.028895896
aircraft_no_seats,0.02312946
dep_weekday_local,0.022350924
origin_flight_volume,0.019292396
aircraft_year_mfr,0.017083827
dep_wind_speed_m_s,0.016249426
aircraft_age,0.013994326
dep_wind_dir_deg,0.011904677
route_frequency,0.010745866
arr_wind_dir_deg,0.008061057
is_holiday,0.0048814192
aircraft_no_eng,0.0
is_weekend,0.0
