feature,importance
prev1_arr_del15,0.51061434
prev1_dep_del15,0.12465394
prev1_arr_delay,0.1134733
dep_hour_local,0.0277042
dep_time_bucket,0.026713062
prev1_turnaround_minutes,0.026173688
aircraft_leg_number_day,0.022391362
rotation_continuity_flag,0.017898934
prev1_dep_delay,0.01637739
prev2_arr_delay,0.010932051
arr_ceiling_height_m,0.007835765
dep_temp_c,0.0064195334
origin_flight_volume,0.0060990364
dep_ceiling_height_m,0.005976248
time_since_prev2_arrival_minutes,0.005908819
prev2_dep_delay,0.005902673
aircraft_no_seats,0.0055296947
dep_month_local,0.005403804
days_to_nearest_holiday,0.005142171
prev2_arr_del15,0.005065172
arr_wind_speed_m_s,0.0048519513
distance,0.0047941348
arr_temp_c,0.0044843704
dep_weekday_local,0.0041745207
dest_flight_volume,0.0037763955
aircraft_year_mfr,0.0035786773
relative_leg_position,0.0034546335
is_weekend,0.0028947822
crs_elapsed_time,0.0026770402
dep_wind_dir_deg,0.002023894
arr_wind_dir_deg,0.00199602
route_frequency,0.0015994633
dep_wind_speed_m_s,0.0014924129
is_holiday,0.0011115476
aircraft_age,0.000787886
aircraft_no_eng,8.705207e-05
prev2_dep_del15,0.0
