feature,importance
prev1_arr_del15,0.40994138
prev1_dep_del15,0.18467182
prev1_arr_delay,0.122936666
dep_time_bucket,0.037378434
dep_hour_local,0.030443585
aircraft_leg_number_day,0.02978323
prev1_turnaround_minutes,0.028938979
prev1_dep_delay,0.023331944
rotation_continuity_flag,0.018207053
prev2_arr_delay,0.010300267
prev2_dep_delay,0.010082861
time_since_prev2_arrival_minutes,0.0073259445
arr_ceiling_height_m,0.00720608
origin_flight_volume,0.0067617614
dep_temp_c,0.0060506356
dep_month_local,0.0060408977
days_to_nearest_holiday,0.005581361
dep_ceiling_height_m,0.005542412
arr_temp_c,0.0049073687
is_weekend,0.0047359653
arr_wind_speed_m_s,0.0045493827
distance,0.0043000793
dest_flight_volume,0.0040616263
crs_elapsed_time,0.0036913282
aircraft_no_seats,0.0035569603
dep_weekday_local,0.003218817
aircraft_year_mfr,0.002933155
prev2_arr_del15,0.0028220324
aircraft_age,0.0022378387
arr_wind_dir_deg,0.0018984982
dep_wind_dir_deg,0.0017922937
relative_leg_position,0.0016498773
route_frequency,0.0014174236
dep_wind_speed_m_s,0.0013114763
is_holiday,0.00039071875
aircraft_no_eng,0.0
prev2_dep_del15,0.0
