feature,importance
prev1_arr_del15,0.4146044
prev1_dep_del15,0.18240517
prev1_arr_delay,0.09961244
aircraft_leg_number_day,0.07954092
prev1_turnaround_minutes,0.020169524
dep_hour_local,0.018113883
dep_time_bucket,0.016624723
dep_month_local,0.0143571505
days_to_nearest_holiday,0.0137549825
prev1_dep_delay,0.013711684
rotation_continuity_flag,0.010655017
prev2_arr_delay,0.008013971
arr_ceiling_height_m,0.0069753653
arr_temp_c,0.0064425436
dep_temp_c,0.0062017557
dest_flight_volume,0.0061723455
arr_wind_speed_m_s,0.0058550388
aircraft_age,0.005798102
time_since_prev2_arrival_minutes,0.005778388
aircraft_no_seats,0.0055122776
relative_leg_position,0.0054403576
origin_flight_volume,0.005347668
is_weekend,0.0045562494
distance,0.0045420253
dep_weekday_local,0.0045152376
prev2_dep_delay,0.0044742776
dep_wind_speed_m_s,0.0043703048
dep_ceiling_height_m,0.0043262406
crs_elapsed_time,0.0041966797
is_holiday,0.0040372363
aircraft_year_mfr,0.0033448117
route_frequency,0.003009086
arr_wind_dir_deg,0.002661223
prev2_arr_del15,0.0021656053
dep_wind_dir_deg,0.002032174
aircraft_no_eng,0.0006811765
prev2_dep_del15,0.0
